GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - With a disability:
HD02_VD02,Margin of Error; Total: - With a disability:
HD01_VD03,Estimate; Total: - With a disability: - Male
HD02_VD03,Margin of Error; Total: - With a disability: - Male
HD01_VD04,Estimate; Total: - With a disability: - Female
HD02_VD04,Margin of Error; Total: - With a disability: - Female
HD01_VD05,Estimate; Total: - No disability:
HD02_VD05,Margin of Error; Total: - No disability:
HD01_VD06,Estimate; Total: - No disability: - Male
HD02_VD06,Margin of Error; Total: - No disability: - Male
HD01_VD07,Estimate; Total: - No disability: - Female
HD02_VD07,Margin of Error; Total: - No disability: - Female
